30	25	100	0.026353	L	BELLMANFORD
30	25	100	0.192927	M	BELLMANFORD
30	50	100	0.039728	L	BELLMANFORD
30	50	100	0.332352	M	BELLMANFORD
30	75	100	0.057258	L	BELLMANFORD
30	75	100	0.492138	M	BELLMANFORD
30	99	100	0.072908	L	BELLMANFORD
30	99	100	0.668968	M	BELLMANFORD
40	25	100	0.042051	L	BELLMANFORD
40	25	100	0.346295	M	BELLMANFORD
40	50	100	0.072625	L	BELLMANFORD
40	50	100	0.60364	M	BELLMANFORD
40	75	100	0.101898	L	BELLMANFORD
40	75	100	0.91964	M	BELLMANFORD
40	99	100	0.129713	L	BELLMANFORD
40	99	100	1.22729	M	BELLMANFORD
50	25	100	0.06271	L	BELLMANFORD
50	25	100	0.526226	M	BELLMANFORD
50	50	100	0.109451	L	BELLMANFORD
50	50	100	0.976698	M	BELLMANFORD
50	75	100	0.157642	L	BELLMANFORD
50	75	100	1.48354	M	BELLMANFORD
50	99	100	0.215827	L	BELLMANFORD
50	99	100	2.04963	M	BELLMANFORD
